Subject,Release,Acquisition,GMV,WBV,ICV,,,,Gender,GenderTag,Age,AgeTag,over 36,FFI data,Tau reject,SD reject,age_tau_sd reject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_A,NEOFAC_C,NEO-FFI_Compl,NEORAW_01,NEORAW_02,NEORAW_03,NEORAW_04,NEORAW_05,NEORAW_06,NEORAW_07,NEORAW_08,NEORAW_09,NEORAW_10,NEORAW_11,NEORAW_12,NEORAW_13,NEORAW_14,NEORAW_15,NEORAW_16,NEORAW_17,NEORAW_18,NEORAW_19,NEORAW_20,NEORAW_21,NEORAW_22,NEORAW_23,NEORAW_24,NEORAW_25,NEORAW_26,NEORAW_27,NEORAW_28,NEORAW_29,NEORAW_30,NEORAW_31,NEORAW_32,NEORAW_33,NEORAW_34,NEORAW_35,NEORAW_36,NEORAW_37,NEORAW_38,NEORAW_39,NEORAW_40,NEORAW_41,NEORAW_42,NEORAW_43,NEORAW_44,NEORAW_45,NEORAW_46,NEORAW_47,NEORAW_48,NEORAW_49,NEORAW_50,NEORAW_51,NEORAW_52,NEORAW_53,NEORAW_54,NEORAW_55,NEORAW_56,NEORAW_57,NEORAW_58,NEORAW_59,NEORAW_60
154229,S900,Q10,0.658215084,1.06897267,1.186654606,,,,F,2,22-25,1,0,0,0,0,0,25,23,24,23,40,TRUE,D,N,A,SA,A,N,SA,A,N,A,N,N,A,A,D,D,N,D,A,SA,D,D,A,A,A,D,A,A,A,D,D,D,D,A,SA,A,D,A,A,SA,N,D,D,N,SD,D,A,N,A,SA,D,N,A,N,D,D,A,N,SD,N
154330,S1200,Q04,0.930608085,1.486372042,1.656915223,,,,M,1,26-30,2,0,0,0,0,0,10,34,29,29,31,TRUE,D,A,N,SA,A,SD,A,A,D,D,D,D,A,D,A,A,A,D,D,A,D,A,N,D,A,SD,D,A,N,A,A,D,D,A,A,D,A,N,A,A,D,D,D,SA,SD,A,A,D,SA,A,SD,A,A,N,D,SD,D,A,A,A
154431,Q3,Q03,0.649860841,1.053142263,1.212878241,,,,F,2,26-30,2,0,0,0,0,0,4,37,31,41,41,TRUE,A,A,N,SA,A,N,SA,A,SD,A,SD,N,N,SD,D,SA,SA,D,A,A,SD,A,D,SD,A,SD,D,A,D,SD,SA,N,D,SA,A,D,SA,N,SD,SA,SD,SD,N,D,SD,SA,N,SD,SA,A,SD,A,A,D,SD,SD,D,A,D,SA
154532,S900,Q09,0.861498264,1.364323371,1.535015219,,,,M,1,26-30,2,0,0,0,0,0,15,37,28,25,31,TRUE,A,A,N,A,N,D,A,A,N,A,N,D,A,D,N,A,A,D,D,A,N,A,N,N,A,D,D,A,A,A,D,A,A,A,A,D,A,D,D,A,SD,D,D,A,N,D,A,D,A,A,SD,SA,N,N,D,SD,D,SA,D,A
154734,S500,Q06,0.76349556,1.297794041,1.47482079,,,,M,1,31-35,3,0,0,0,0,0,2,33,28,36,44,TRUE,SA,N,A,SA,A,SD,A,A,SD,A,SD,D,A,SD,SD,SA,A,D,N,SA,D,A,N,N,A,SD,N,A,A,SD,SA,SD,SD,SA,SA,SD,SA,N,D,SA,SD,SD,D,D,D,SA,A,D,SA,SA,SD,A,A,D,SD,D,D,N,N,SA
154835,S500,Q07,0.651155581,1.121186064,1.256738337,,,,F,2,31-35,3,0,0,0,0,0,17,34,34,30,32,TRUE,N,A,D,A,D,D,A,D,SD,N,D,N,SA,D,A,N,SA,D,A,A,D,A,D,A,N,D,D,D,A,D,A,N,D,A,A,D,A,N,SD,SA,D,SD,A,A,SD,D,N,D,SA,A,D,SA,SA,N,D,N,A,N,D,A
154936,S500,Q04,0.813036222,1.27895938,1.439281685,,,,M,1,26-30,2,0,0,0,0,0,26,32,23,25,32,TRUE,D,N,SA,SA,N,A,A,SA,N,A,SA,D,A,N,N,N,SA,N,N,A,A,A,N,A,SA,SD,N,A,SA,N,A,N,SA,A,A,SA,A,N,N,A,N,A,A,A,N,N,A,D,SA,A,D,N,A,N,N,D,SD,N,N,A
155231,S500,Q06,0.779659931,1.26956527,1.421449227,,,,F,2,31-35,3,0,0,0,0,0,34,25,31,34,26,TRUE,SD,A,D,A,D,A,A,N,D,A,A,A,N,N,SD,A,A,SD,SA,A,A,N,D,SA,SD,A,SD,D,N,A,D,SD,SD,A,N,D,N,A,D,A,A,A,D,SD,D,D,A,SD,SA,A,SA,N,A,D,N,A,A,A,A,D
155635,S500,Q04,0.754627681,1.193957267,1.385354404,,,,F,2,26-30,2,0,0,0,0,0,15,26,28,23,37,TRUE,D,N,D,A,D,D,N,SA,N,A,SD,D,SA,SD,SD,D,A,SD,D,A,D,D,A,SA,A,SD,SA,N,A,D,A,N,D,A,SA,N,A,D,N,SA,SD,D,SD,A,SD,N,A,N,A,SA,SD,A,A,A,A,N,A,A,N,A
155938,S900,Q08,0.879060545,1.526431393,1.695110337,,,,M,1,26-30,2,0,0,0,0,0,18,34,40,39,33,TRUE,N,N,D,SA,N,A,SA,N,D,N,A,D,SA,D,D,N,A,SD,SA,SA,D,N,D,D,N,A,D,N,D,N,A,A,D,SA,A,SD,A,D,D,A,SD,D,SA,D,D,A,A,SD,SA,A,D,SA,SA,SD,N,D,A,SA,D,SA
156031,S900,Q11,0.802965967,1.342793683,1.500533699,,,,F,2,26-30,2,0,0,0,0,0,8,26,22,31,40,TRUE,N,N,N,A,A,D,A,SA,D,A,N,D,A,D,A,SA,A,A,A,SA,D,N,N,A,A,SD,N,A,D,D,A,D,A,SA,SA,D,A,N,SD,SA,SD,A,D,A,SD,SA,N,N,A,SA,SD,N,A,N,D,SD,N,N,D,SA
156233,Q3,Q03,0.717243256,1.217397847,1.358399787,,,,F,2,22-25,1,0,0,0,1,1,4,38,32,24,48,TRUE,SA,SA,SA,SA,SA,SD,SA,SA,SD,SA,SD,SA,SA,SA,SD,SA,SA,SD,SD,SA,SD,SA,SD,SA,SA,SD,N,SA,SA,SD,SA,SA,SA,SA,SA,SD,SA,SA,SD,SA,SD,SD,SA,SA,SD,SD,SA,SD,SA,SA,SD,SA,SA,SA,SD,SD,SA,SA,SA,SA
156334,MEG2,Q03,0.775100834,1.230664528,1.388359706,,,,F,2,26-30,2,0,0,0,0,0,28,31,24,29,35,TRUE,N,N,A,SA,A,N,SA,SA,D,A,A,A,N,A,D,N,A,SD,SA,SA,N,A,A,A,A,A,A,N,A,D,N,A,SD,A,A,N,A,D,N,A,A,N,D,N,N,D,A,N,A,A,N,A,A,D,N,N,D,D,N,A
156435,S900,Q11,0.829828234,1.318977226,1.445555568,,,,M,1,22-25,1,0,0,0,0,0,18,30,25,30,33,TRUE,D,N,D,A,A,N,A,N,D,A,D,N,D,D,D,A,A,SD,N,A,D,N,A,N,A,D,D,N,N,D,A,N,D,A,A,N,A,SA,D,A,D,D,D,N,N,A,N,D,A,N,D,A,A,D,D,A,N,N,D,N
156536,S900,Q12,0.806544434,1.263395456,1.385874396,,,,M,1,22-25,1,0,0,0,0,0,11,25,26,31,33,TRUE,A,N,A,SA,N,D,N,A,D,N,D,A,A,N,D,A,A,D,A,SA,D,A,N,A,A,SD,D,D,D,A,A,N,N,A,SA,N,N,D,N,A,D,A,A,A,N,A,N,D,SA,A,D,D,N,D,D,SD,D,N,N,A
156637,Q1,Q01,0.805678796,1.334492865,1.536430556,,,,M,1,31-35,3,0,0,0,0,0,30,17,31,26,32,TRUE,D,A,D,SA,SA,A,A,A,A,D,A,A,A,A,SD,A,A,D,SA,A,SD,A,A,SA,N,A,A,SA,A,A,D,D,SD,D,SA,SA,D,D,SD,A,A,A,A,SD,D,A,SD,D,A,A,A,SD,A,D,A,A,SA,SD,SD,A
157336,Q2,Q02,0.659248592,1.09546847,1.250239152,,,,F,2,31-35,3,0,0,0,0,0,12,34,38,35,39,TRUE,N,N,D,A,A,D,A,A,D,A,D,D,A,D,D,A,A,SD,A,SA,D,A,D,N,A,D,N,A,D,D,A,SA,D,A,A,D,A,SD,SD,SA,D,D,A,N,D,A,N,SD,SA,A,SD,SA,SA,D,D,D,N,A,N,SA
157437,S500,Q04,0.674182516,1.058683811,1.156923892,,,,F,2,26-30,2,0,0,0,0,0,14,35,28,34,36,TRUE,D,A,N,SA,SA,N,A,SA,D,A,N,A,A,A,N,A,A,D,A,A,D,SA,N,N,A,SD,D,N,A,D,N,N,D,SA,A,D,SA,N,SD,A,D,D,N,D,D,A,A,SD,A,A,SD,A,A,SD,D,SD,D,N,N,A
157942,S900,Q07,0.696436175,1.139943065,1.33127747,,,,F,2,36+,4,1,0,0,0,1,34,28,21,33,24,TRUE,SD,A,A,A,N,SA,A,A,D,D,A,D,N,SD,D,D,A,D,A,A,A,A,A,A,D,A,A,D,N,A,D,D,D,A,A,D,N,N,SD,N,N,N,D,D,A,D,SA,N,SA,A,N,D,A,N,A,A,N,D,D,A
158035,Q2,Q02,0.697248518,1.094760383,1.250056471,,,,F,2,26-30,2,0,0,0,0,0,20,27,29,33,37,TRUE,D,N,A,A,A,A,N,A,SD,A,D,A,N,D,N,N,A,SD,D,SA,D,D,D,SD,SA,N,A,A,SD,N,N,A,SD,A,SA,N,A,A,D,A,D,D,N,A,N,N,N,N,A,A,D,A,A,D,D,SD,D,A,D,SA
158136,S500,Q04,0.71453321,1.162858124,1.327449158,,,,M,1,31-35,3,0,0,0,0,0,27,31,29,30,30,TRUE,D,A,N,SA,A,A,SA,SA,SD,A,N,D,A,D,D,D,A,SD,A,A,N,SA,D,A,N,A,N,N,N,D,D,D,D,SA,N,D,A,D,SD,N,A,D,N,A,D,D,A,D,A,A,D,D,N,A,A,SD,A,N,SD,N
158338,S900,Q08,0.865932024,1.360692276,1.571483221,,,,M,1,22-25,1,0,0,0,0,0,19,34,40,35,29,TRUE,N,A,SD,A,A,N,A,N,D,D,A,D,SA,N,N,A,A,SD,SA,A,N,A,SD,D,A,N,N,SA,D,SA,A,SA,A,A,SA,D,A,A,D,N,N,D,SA,D,A,A,N,SD,SA,A,D,N,SA,D,D,D,D,SA,D,SA
158540,Q2,Q02,0.724803118,1.183238485,1.356693633,,,,M,1,31-35,3,0,0,0,0,0,15,35,18,33,39,TRUE,D,A,A,SA,SA,D,SA,SA,D,A,D,D,A,D,D,A,A,D,A,SA,D,A,A,D,A,N,A,A,D,A,A,D,A,A,SA,D,SA,SA,D,A,D,D,D,A,D,A,A,N,SA,SA,D,SA,A,D,D,D,D,SD,SD,SA
158843,S900,Q08,0.679705479,1.112908928,1.270234826,,,,M,1,26-30,2,0,0,0,0,0,19,25,43,36,31,TRUE,D,N,SD,SA,N,D,N,A,SD,N,D,D,SA,N,N,A,N,SD,SA,SA,N,N,SD,A,N,D,A,A,A,D,N,N,SD,A,A,N,N,SD,SD,A,N,N,SA,SD,N,N,N,SD,SA,A,D,SA,A,D,N,D,A,SA,N,A
159138,S500,Q04,0.81049055,1.308771977,1.515781382,,,,M,1,31-35,3,0,0,0,0,0,2,40,32,39,45,TRUE,A,A,N,SA,A,SD,SA,SA,SD,A,D,N,A,D,SD,SA,SA,D,N,A,SD,A,N,D,SA,SD,D,SA,SD,SD,SA,N,D,A,SA,SD,SA,D,SD,SA,SD,SD,N,N,SD,SA,A,D,SA,SA,SD,SA,SA,SD,SD,SD,SD,A,N,SA
159239,Q1,Q01,0.726640655,1.145232418,1.347965896,,,,F,2,31-35,3,0,0,0,0,0,15,28,26,32,33,TRUE,N,A,N,A,A,N,A,A,D,A,N,A,N,D,D,A,A,D,A,A,D,N,N,D,N,D,D,N,A,D,A,D,D,A,A,D,A,N,D,A,D,D,N,D,N,A,N,N,A,A,D,N,A,D,D,D,N,N,D,N
159340,Q3,Q04,0.758075992,1.244801325,1.412543628,,,,M,1,26-30,2,0,0,0,0,0,0,40,40,41,38,TRUE,SA,N,A,SA,A,SD,SA,A,SD,A,SD,SD,SA,SD,SD,SA,SA,N,A,SA,SD,A,SD,SD,A,SD,SD,SA,D,N,SA,A,SD,SA,A,SD,SA,SD,SD,A,SD,SD,SA,SD,D,SA,D,SD,SA,A,SD,A,SA,D,SD,SD,SD,SA,SD,A
159441,S500,Q06,0.695643737,1.110617509,1.273724268,,,,F,2,26-30,2,0,0,0,0,0,22,36,15,39,34,TRUE,SD,A,A,A,D,N,A,SA,D,SA,SD,D,D,SD,N,N,SA,N,A,SA,A,A,SA,D,N,A,N,D,SD,SD,D,D,SD,SA,A,SD,A,A,SD,A,D,SD,SD,N,A,D,SA,N,SA,SA,SD,SA,N,N,D,D,N,D,A,A
159744,S900,Q11,0.77873288,1.327975198,1.516350423,,,,M,1,31-35,3,0,0,0,0,0,21,31,22,26,27,TRUE,D,A,N,SA,N,N,A,SA,A,D,SA,N,N,A,D,SA,SA,D,A,A,D,A,N,N,A,D,A,D,D,D,A,N,D,A,A,D,A,SA,D,N,A,A,N,SA,A,D,A,N,A,N,D,N,A,A,SA,D,SD,N,N,SA
159845,S900,Q11,0.631674411,1.055148421,1.156669332,,,,F,2,31-35,3,0,0,0,0,0,15,29,28,35,48,TRUE,D,D,A,A,SA,SD,D,SA,D,SA,D,A,SA,SD,SD,A,A,N,A,SA,SD,N,D,D,SA,D,A,A,N,SD,N,SA,SA,SA,SA,D,SA,A,SD,SA,SD,D,SA,SD,SD,SD,D,D,SA,SA,D,SA,SA,A,SD,D,SD,A,SD,SA
159946,S900,Q07,0.853067133,1.413229778,1.611166391,,,,M,1,26-30,2,0,0,0,0,0,21,29,26,32,38,TRUE,D,N,SD,A,A,D,A,A,D,SA,N,N,N,D,SD,A,A,D,SA,SA,D,N,SA,A,SA,D,N,N,A,A,N,D,D,SA,SA,A,N,SA,D,A,N,D,SD,A,A,A,SA,SD,A,A,D,N,SA,SD,D,A,D,A,N,SA
160123,Q3,Q03,0.697072582,1.227931877,1.393179698,,,,M,1,31-35,3,0,0,0,0,0,23,29,30,28,37,TRUE,D,N,A,SA,A,D,A,A,D,A,A,D,A,N,D,D,A,D,A,A,D,D,D,D,A,D,A,D,A,D,D,D,N,A,A,N,A,D,N,A,D,D,A,N,D,A,A,SD,A,A,D,A,A,A,D,A,D,A,D,SA
160729,S900,Q08,0.666796291,1.057373798,1.192289822,,,,F,2,22-25,1,0,0,0,0,0,14,36,36,32,30,TRUE,N,A,N,A,N,SD,A,N,D,N,SD,D,A,SD,N,N,SA,SD,N,D,A,A,D,N,A,N,D,SA,A,A,N,SD,D,SA,A,D,A,A,SD,A,SD,SD,A,N,SD,N,A,SD,A,A,SD,A,SA,SD,N,SD,SD,A,SD,SA
160830,S500,Q06,0.732174231,1.185319707,1.33948532,,,,F,2,26-30,2,0,0,0,0,0,29,19,38,34,26,TRUE,D,SD,D,A,D,A,SA,SA,SD,D,A,N,SA,SD,SD,D,N,SD,D,A,N,N,SD,A,N,N,A,A,SA,SA,D,D,D,SA,A,D,N,A,SD,A,A,A,SA,D,D,D,N,SD,A,N,N,D,SA,SD,A,D,A,SA,A,A
160931,S900,Q08,0.705038226,1.198246025,1.3657084,,,,F,2,31-35,3,0,0,0,0,0,26,33,37,36,34,TRUE,D,N,N,A,A,N,A,A,SD,A,SA,D,SA,D,N,N,A,SD,SA,SA,A,A,D,N,A,N,D,A,D,A,D,N,SD,A,A,D,A,D,SD,A,D,N,SA,A,D,A,A,SD,SA,A,A,A,A,D,D,D,D,N,N,A
161327,Q3,Q03,0.704174843,1.141679705,1.309451551,,,,F,2,26-30,2,0,0,0,0,0,15,34,31,27,38,TRUE,A,D,A,SA,D,D,SA,SA,A,SA,SA,SD,A,SD,D,A,A,SD,SA,SA,SD,D,D,D,A,SD,N,N,SA,SD,A,SA,SD,SA,SA,D,SA,A,D,SA,D,D,A,SA,SA,D,SA,D,SA,SA,SD,SD,A,SA,D,N,SD,SA,SD,SA
161630,S500,Q04,0.7809929,1.280738041,1.470312492,,,,F,2,26-30,2,0,0,0,0,0,0,28,27,38,43,TRUE,SA,A,SA,SA,A,SD,SA,SA,SD,SA,SD,SD,A,SD,SD,SA,A,SD,A,SA,SD,D,SA,D,A,SD,D,N,D,SD,SA,D,D,SA,A,SD,SA,SD,D,SA,SD,A,D,D,SD,SA,D,SD,A,SA,SD,N,SA,D,D,SD,A,N,D,A
161731,Q1,Q01,0.662024816,1.068218423,1.169253896,,,,F,2,31-35,3,0,0,0,0,0,18,34,34,32,33,TRUE,D,N,D,SA,A,D,A,A,D,A,N,D,SA,D,N,N,A,D,A,A,D,N,N,D,A,D,D,A,N,D,N,A,D,A,A,D,A,D,D,A,D,D,A,N,D,N,A,D,A,A,D,A,A,D,A,D,D,A,SD,A
161832,S1200,Q12,0.716511155,1.135126285,1.313272444,,,,M,1,26-30,2,0,0,0,0,0,21,24,22,20,26,TRUE,D,N,A,A,N,D,SD,SA,N,N,N,SA,A,A,N,D,A,SD,D,A,N,A,A,A,N,D,D,A,SA,D,N,N,A,A,N,D,D,SD,N,A,N,A,SD,A,N,N,A,A,N,N,D,A,N,N,A,D,D,N,N,N
162026,S500,Q06,0.660585032,1.069346481,1.252779515,,,,F,2,31-35,3,0,0,0,0,0,18,33,26,34,29,TRUE,D,A,D,A,A,D,A,A,D,D,A,D,A,D,D,A,SA,D,A,A,D,A,N,D,D,D,D,A,D,D,A,D,D,A,A,D,A,D,D,A,A,D,D,D,A,A,A,N,A,N,D,A,D,D,D,D,A,D,D,A
162228,S500,Q07,0.912661618,1.417164056,1.621177668,,,,M,1,22-25,1,0,0,0,0,0,0,40,35,39,43,TRUE,SA,A,D,SA,SA,SD,SA,SA,SD,SA,SD,SD,SA,SD,D,SA,SA,D,D,SA,SD,A,D,SD,A,SD,D,A,D,D,SA,D,D,SA,A,SD,SA,D,SD,SA,SD,SD,A,SD,SD,SA,A,D,SA,A,SD,A,SA,D,SD,SD,SD,A,SD,SA
162329,Q1,Q01,0.62824434,0.992541895,1.124353689,,,,F,2,26-30,2,0,0,0,0,0,9,45,34,32,37,TRUE,SA,SA,N,SA,A,D,SA,SA,SD,SA,D,SD,A,SD,N,SA,SA,SD,D,SA,SD,A,SD,N,A,SD,SD,SA,SA,SD,A,SA,D,SA,SA,A,SA,D,SD,SA,SD,SD,A,A,D,SA,A,D,SA,SA,SD,A,A,D,A,A,SD,N,D,D
162733,Q3,Q04,0.779405265,1.228989407,1.375528772,,,,F,2,26-30,2,0,0,0,0,0,19,31,29,35,33,TRUE,D,A,N,A,A,D,SA,A,D,A,D,D,A,D,D,N,A,D,N,A,N,D,D,D,N,SD,N,N,D,A,N,N,D,A,A,D,A,SA,SD,A,D,D,A,D,A,D,D,D,SA,SA,SD,N,A,D,SD,A,SD,A,D,A
162935,S900,Q09,0.777390216,1.218706755,1.392816419,,,,M,1,22-25,1,0,0,0,0,0,19,20,36,24,22,TRUE,SD,D,D,A,D,D,A,N,N,D,D,N,A,N,N,N,SA,SD,N,A,SD,N,D,SA,A,N,A,D,N,SA,N,D,N,A,A,D,D,SD,N,N,SD,SA,A,A,A,D,D,SD,N,N,SD,D,SA,D,N,A,D,A,N,N
163129,Q3,Q04,0.688179526,1.142929728,1.276922058,,,,M,1,26-30,2,0,0,0,0,0,17,40,31,36,35,TRUE,D,A,SD,SA,A,N,SA,A,SD,D,A,SD,SA,SD,N,A,SA,SA,A,SA,D,A,N,SA,A,SD,N,A,D,A,D,A,SD,SA,A,D,SA,SA,SD,SA,SD,D,D,N,SD,A,SA,SD,SA,SA,D,SA,SA,SD,N,D,N,SA,SD,SA
163331,S500,Q06,0.722174229,1.209199573,1.38507143,,,,M,1,31-35,3,0,0,0,0,0,14,20,15,26,39,TRUE,A,D,A,SA,SA,D,D,SA,D,SA,D,A,A,D,SD,A,N,A,A,A,D,D,SA,A,A,D,A,D,A,D,A,N,D,A,A,D,N,N,A,A,D,N,D,A,D,A,A,A,SA,A,D,A,D,A,D,A,A,D,D,A
163432,Q2,Q02,0.709320636,1.159916264,1.348936652,,,,F,2,31-35,3,0,0,0,0,0,14,33,31,33,36,TRUE,A,A,D,A,A,N,A,A,D,A,A,D,A,D,D,A,SA,SD,D,A,D,A,A,D,A,SD,A,A,D,D,A,D,D,A,A,D,A,D,SD,A,D,D,N,D,D,A,A,D,A,A,D,A,A,D,D,D,D,N,D,A
163836,S500,Q06,0.654154636,1.125553619,1.237340865,,,,F,2,31-35,3,0,0,0,0,0,22,30,29,24,31,TRUE,N,A,D,A,A,N,A,A,N,A,A,D,N,A,A,N,D,D,A,A,D,N,D,N,A,D,A,A,A,N,A,A,A,A,A,A,A,A,A,A,D,D,A,A,D,D,N,D,A,A,N,A,A,A,A,D,D,A,A,A
164030,S500,Q05,0.757879726,1.264429453,1.464382076,,,,M,1,31-35,3,0,0,0,0,0,2,26,26,29,37,TRUE,SA,D,D,SA,A,D,A,A,SD,A,SD,A,A,D,D,A,D,D,D,A,SD,SA,SA,A,A,SD,D,A,D,A,SA,D,D,A,A,SD,D,A,A,SA,SD,A,D,SA,SD,SA,SA,D,A,SA,SD,SA,SA,D,D,SD,N,D,A,A
164131,S500,Q04,0.735858224,1.204607996,1.398891366,,,,M,1,26-30,2,0,0,0,0,0,21,18,30,34,26,TRUE,N,D,D,N,A,D,N,A,SD,D,N,D,A,D,SD,N,D,SD,SA,A,D,A,A,D,D,N,A,D,D,A,A,D,A,A,N,N,N,SD,N,N,A,A,D,N,A,N,D,D,A,A,N,D,SA,D,D,D,A,SA,N,N
164636,S900,Q09,0.808497476,1.28418642,1.444022077,,,,M,1,22-25,1,0,0,0,0,0,20,37,35,34,28,TRUE,D,SA,D,A,A,D,A,D,D,A,D,D,SA,A,D,D,A,D,A,A,A,A,D,D,A,D,D,A,D,A,A,A,D,A,A,D,A,A,D,D,D,D,A,D,A,A,A,D,A,A,D,A,A,D,D,A,D,A,A,D
164939,S500,Q06,0.634744327,1.009093567,1.153324198,,,,F,2,26-30,2,0,0,0,0,0,42,25,28,34,26,TRUE,SA,N,SA,SA,N,A,SA,SA,SD,SD,A,SD,SA,SD,N,SD,N,D,D,A,SA,D,D,N,D,SA,D,A,SA,SD,SD,SD,SD,A,SA,SA,A,SA,SD,A,SA,D,N,D,A,SD,SD,SD,SA,N,SA,A,SA,SD,SA,SA,SA,D,D,SA
165032,S500,Q05,0.750711307,1.310361786,1.530639776,,,,M,1,22-25,1,0,0,0,0,0,19,31,22,28,26,TRUE,D,N,A,A,A,D,A,A,D,N,D,A,D,A,N,A,A,SD,A,A,N,A,A,N,A,D,N,D,A,SA,A,A,A,SA,A,D,A,A,N,N,A,D,N,N,A,D,N,SD,A,A,D,A,N,N,A,D,D,A,N,A
165234,Q3,Q03,0.727626787,1.127505758,1.279040433,,,,F,2,22-25,1,0,0,0,0,0,13,36,34,30,35,TRUE,A,N,N,SA,N,D,SA,A,D,A,A,D,A,SD,N,N,SA,SD,D,SA,SD,A,N,A,A,D,D,SA,N,D,A,N,SD,A,SA,D,A,D,SD,A,D,D,A,A,D,N,SA,D,SA,A,SD,A,A,N,N,SD,N,N,D,A
165436,S1200,Q12,0.749475139,1.28439209,1.45385359,,,,M,1,26-30,2,0,0,0,0,0,28,28,30,39,22,TRUE,SD,A,N,A,SD,A,SA,A,SD,D,A,A,A,N,N,D,A,SD,A,A,A,SA,A,D,D,A,D,A,D,SA,SD,SD,D,A,SA,D,D,D,SD,N,SD,A,SD,D,A,D,A,D,SA,A,SD,N,SA,SD,A,D,D,A,A,SA
165638,S900,Q07,0.680881781,1.132844832,1.283613543,,,,M,1,26-30,2,0,0,0,0,0,8,41,38,35,34,TRUE,SA,N,D,A,A,N,SA,SA,SD,D,SD,D,SA,D,D,SA,A,SD,SA,SA,SD,SA,N,D,A,D,D,A,D,A,A,A,D,SA,SA,D,SA,SD,A,A,D,D,A,N,A,A,SA,SD,SA,SA,SD,SA,SA,D,D,D,SD,SA,D,SA
165840,Q3,Q03,0.790602775,1.32394599,1.495587628,,,,M,1,31-35,3,0,0,0,0,0,14,24,27,28,33,TRUE,A,N,A,A,A,D,N,SA,D,A,D,N,A,D,N,A,A,N,N,A,D,N,D,N,A,A,A,N,A,D,A,A,N,A,A,D,N,N,N,A,D,A,A,N,A,A,N,SD,A,A,D,N,A,N,D,D,N,N,N,A
165941,S1200,Q09,0.669245958,1.132235314,1.261597129,,,,F,2,26-30,2,0,0,0,0,0,22,22,23,25,29,TRUE,N,D,D,A,N,N,D,D,N,A,A,N,D,N,N,A,D,D,A,A,N,A,A,A,N,D,A,A,SA,A,N,A,N,A,A,N,N,N,A,N,A,N,D,A,D,N,D,A,A,A,D,N,N,D,N,D,D,D,A,A
166438,S500,Q04,0.842588836,1.367872914,1.551602399,,,,M,1,31-35,3,0,0,0,0,0,16,18,26,31,23,TRUE,N,D,D,A,A,D,A,A,D,D,D,A,A,D,A,A,A,D,A,A,D,N,A,A,D,D,A,N,N,A,A,D,D,A,N,A,D,N,A,A,N,A,D,D,A,A,N,N,A,A,D,D,A,D,A,D,A,N,A,A
166640,S900,Q10,0.721686361,1.229951455,1.372186478,,,,M,1,22-25,1,0,0,0,0,0,14,32,34,20,41,TRUE,N,N,N,SA,SA,SD,SA,SA,N,SA,SD,N,A,A,SD,A,A,SD,N,A,N,A,N,A,A,N,A,SA,SA,A,A,SA,D,A,SA,A,A,SD,SA,SA,N,D,N,A,D,A,N,D,A,SA,SD,A,A,D,SD,SD,N,SA,SD,A
167036,S500,Q04,0.651520242,1.083332384,1.235522599,,,,F,2,26-30,2,0,0,0,0,0,8,37,29,38,39,TRUE,D,A,N,SA,SA,D,SA,A,SD,A,D,A,A,SD,D,SA,SA,D,SA,SA,SD,A,N,D,A,SD,D,N,N,D,A,N,D,A,A,SD,A,N,SD,SA,SD,D,N,D,D,A,SA,D,A,A,SD,SA,A,D,D,D,D,A,D,A
167238,S900,Q08,0.731792214,1.249897834,1.383888019,,,,F,2,31-35,3,0,0,0,0,0,13,27,21,35,35,TRUE,N,D,N,SA,A,D,N,SA,SD,A,N,D,N,D,D,A,N,N,SA,A,D,N,N,N,A,D,A,N,N,D,A,A,D,A,A,D,A,SA,D,A,SD,D,D,N,D,A,A,N,SA,A,D,A,A,D,N,D,A,N,D,A
167440,S1200,Q13,0.719087877,1.172023155,1.336550076,,,,F,2,26-30,2,0,0,0,0,0,20,25,35,40,38,TRUE,D,A,A,SA,A,D,A,SA,SD,A,D,A,A,SD,SD,D,A,SD,D,A,A,D,SD,D,A,D,D,A,SD,D,D,D,SD,SA,A,SD,D,SA,SD,A,D,A,SA,SD,SD,D,D,SD,SA,A,D,SA,SA,SD,D,SD,D,SA,SD,A
167743,Q1,Q01,0.77816796,1.273339274,1.444455544,,,,F,2,26-30,2,0,0,0,0,0,26,25,36,29,27,TRUE,SD,D,D,SA,A,N,SA,A,N,D,N,N,A,N,D,N,N,SD,A,A,N,A,SD,A,D,N,A,A,A,N,N,D,N,A,N,N,A,D,D,A,N,D,SA,A,A,N,A,D,SA,A,N,D,A,D,D,N,A,A,N,N
168038,S900,Q08,0.766790679,1.362980132,1.485396063,,,,M,1,26-30,2,0,0,0,0,0,21,36,34,29,41,TRUE,N,A,N,SA,SA,A,A,SA,D,SA,N,N,SA,SA,N,N,A,SD,N,A,D,N,D,A,N,SD,N,A,A,D,A,A,N,N,SA,SA,SA,SD,SD,SA,A,SD,A,N,SD,A,N,D,SA,SA,D,SA,SA,D,D,D,SD,N,A,SA
168139,S500,Q07,0.769908735,1.265377428,1.464987407,,,,M,1,22-25,1,0,0,0,0,0,14,33,23,32,36,TRUE,A,N,D,A,SA,SD,A,SA,D,N,SD,N,N,D,SD,A,SA,SD,SA,SA,N,A,A,D,SA,D,N,N,D,N,A,N,N,SA,SA,D,A,SA,N,N,N,D,SD,A,A,SA,A,D,A,A,N,A,A,N,D,A,D,A,D,A
