Subject,Release,Acquisition,GMV,WBV,ICV,,,,Gender,GenderTag,Age,AgeTag,over 36,FFI data,Tau reject,SD reject,age_tau_sd reject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_A,NEOFAC_C,NEO-FFI_Compl,NEORAW_01,NEORAW_02,NEORAW_03,NEORAW_04,NEORAW_05,NEORAW_06,NEORAW_07,NEORAW_08,NEORAW_09,NEORAW_10,NEORAW_11,NEORAW_12,NEORAW_13,NEORAW_14,NEORAW_15,NEORAW_16,NEORAW_17,NEORAW_18,NEORAW_19,NEORAW_20,NEORAW_21,NEORAW_22,NEORAW_23,NEORAW_24,NEORAW_25,NEORAW_26,NEORAW_27,NEORAW_28,NEORAW_29,NEORAW_30,NEORAW_31,NEORAW_32,NEORAW_33,NEORAW_34,NEORAW_35,NEORAW_36,NEORAW_37,NEORAW_38,NEORAW_39,NEORAW_40,NEORAW_41,NEORAW_42,NEORAW_43,NEORAW_44,NEORAW_45,NEORAW_46,NEORAW_47,NEORAW_48,NEORAW_49,NEORAW_50,NEORAW_51,NEORAW_52,NEORAW_53,NEORAW_54,NEORAW_55,NEORAW_56,NEORAW_57,NEORAW_58,NEORAW_59,NEORAW_60
102513,S900,Q10,0.835156431,1.345680765,1.465211787,,,,M,1,26-30,2,0,0,0,0,0,12,27,39,28,27,TRUE,N,N,D,SA,A,SD,SA,D,D,D,SD,D,N,N,N,N,A,D,D,A,SD,A,D,N,D,D,A,SA,A,N,N,D,N,A,N,D,N,SD,N,A,D,N,A,N,A,D,N,SD,A,N,SD,A,SA,N,D,SD,A,SA,A,SA
102614,S1200,Q12,0.806552846,1.297769192,1.477890605,,,,M,1,22-25,1,0,0,0,0,0,5,35,30,36,42,TRUE,A,N,A,SA,A,D,A,A,SD,A,SD,N,N,D,SD,A,SA,SD,A,SA,D,SA,N,N,A,SD,N,SA,A,D,SA,N,D,A,SA,SD,A,A,SD,A,SD,SD,D,N,SD,A,N,SD,SA,SA,SD,SA,SA,D,SD,SD,D,A,A,A
102715,S1200,Q12,0.854056078,1.41731144,1.607088736,,,,M,1,26-30,2,0,0,0,0,0,6,36,26,36,38,TRUE,A,A,A,SA,SA,SD,SA,A,SD,A,SD,D,N,D,D,SA,A,D,A,A,D,A,A,N,A,SD,N,SA,D,D,A,N,D,A,A,D,A,A,SD,SA,D,D,D,D,D,SA,A,D,A,A,SD,A,SA,D,D,D,SD,N,D,A
102816,Q3,Q03,0.64128009,1.098827883,1.233424846,,,,F,2,26-30,2,0,0,0,0,0,10,31,27,34,32,TRUE,A,D,N,SA,N,N,A,A,SD,N,D,D,N,N,N,A,SA,D,N,A,D,A,D,D,A,SD,A,N,N,D,A,N,D,SA,A,D,A,A,SD,A,SD,D,A,D,A,A,N,D,A,A,SD,A,N,N,D,D,D,N,D,SA
103010,S1200,Q12,0.761930747,1.253749116,1.438808154,,,,M,1,22-25,1,0,0,0,0,0,19,28,33,29,40,TRUE,D,D,A,SA,A,D,A,A,D,A,A,A,A,D,D,D,A,N,N,A,D,N,D,A,SA,D,N,SA,A,N,N,D,D,A,SA,D,A,D,D,SA,D,N,A,N,D,A,A,D,A,SA,D,SA,SA,N,D,D,D,A,N,SA
103111,S500,Q06,0.822644257,1.360943461,1.583930826,,,,M,1,26-30,2,0,0,0,0,0,8,29,27,34,41,TRUE,A,D,A,SA,SA,D,A,A,D,A,SD,D,A,SD,D,A,N,SD,A,A,D,A,A,D,A,SD,N,A,D,D,A,D,D,A,SA,D,N,D,D,A,SD,D,D,A,SD,A,A,A,SA,A,SD,N,SA,D,SD,D,SD,N,SD,SA
103212,S1200,Q13,0.787325897,1.251183365,1.446795693,,,,M,1,31-35,3,0,0,0,0,0,17,32,31,34,21,TRUE,A,A,D,SA,D,A,SA,A,SD,N,A,D,A,D,A,A,A,SD,N,A,D,A,A,D,N,D,A,A,N,A,A,A,A,A,N,D,A,SD,D,A,D,D,N,D,N,SA,A,D,A,N,A,D,A,D,A,D,N,A,D,D
103414,Q2,Q02,0.659613095,1.085545407,1.207988125,,,,F,2,22-25,1,0,0,0,0,0,20,34,30,25,31,TRUE,D,A,A,SA,A,A,A,A,SD,A,A,D,A,D,A,A,A,D,D,A,D,A,D,A,A,D,A,N,A,D,D,A,D,A,A,D,A,D,D,A,D,D,N,A,D,A,A,SD,SD,SD,D,SA,A,D,D,D,N,N,D,A
103515,Q1,Q02,0.691417116,1.138305082,1.281949573,,,,F,2,26-30,2,0,0,0,0,0,25,25,27,19,32,TRUE,SD,SD,SD,SD,SD,D,SA,SA,SA,A,D,D,D,D,D,SD,A,SD,SD,A,SD,D,A,D,SA,SD,SA,SA,SA,SD,SD,A,D,SA,SA,SA,A,D,D,N,D,D,D,N,N,D,D,N,N,SA,SD,SA,N,SA,A,A,SA,N,N,N
103818,Q1,Q01,0.678230517,1.082474435,1.209739546,,,,F,2,31-35,3,0,0,0,0,0,24,16,26,34,34,TRUE,D,D,D,A,A,A,D,A,D,A,A,A,A,D,D,D,A,D,A,A,D,D,D,D,A,A,A,D,D,A,A,D,D,A,D,D,D,D,D,SA,A,D,D,D,SD,A,D,D,A,A,D,D,D,D,D,D,A,D,D,A
104012,MEG2,Q07,0.671040757,1.104550502,1.267226965,,,,F,2,26-30,2,0,0,0,0,0,19,36,25,32,39,TRUE,D,N,N,SA,A,D,A,A,SD,A,N,D,A,D,N,D,A,N,A,A,D,A,N,N,A,D,D,A,SA,D,A,A,A,A,SA,D,A,N,D,A,D,D,N,D,SD,SD,N,N,SA,A,D,SA,A,D,SD,SD,SD,N,SD,SA
104416,S900,Q09,0.714926032,1.135770022,1.281014461,,,,F,2,31-35,3,0,0,0,0,0,9,25,34,35,45,TRUE,A,D,SA,SA,SA,D,A,SA,D,SA,D,D,A,D,SD,A,D,D,A,SA,D,N,D,N,A,SD,SA,SA,D,D,A,N,D,A,A,D,A,SD,SD,SA,D,D,A,D,SD,A,A,SD,SA,SA,SD,A,SA,D,SD,SD,A,A,SD,SA
104820,S500,Q06,0.593480105,1.060872335,1.19643819,,,,F,2,36+,4,1,0,0,0,1,15,39,19,33,32,TRUE,D,A,N,A,SA,N,SA,A,SD,N,D,N,N,D,N,SD,SA,N,N,A,D,SA,A,N,D,SD,SD,SD,A,SD,N,N,N,SA,N,SD,SA,N,SD,N,D,D,N,N,N,A,N,A,A,A,SD,A,N,D,SD,SD,SD,N,N,A
105014,S500,Q05,0.760646753,1.205297731,1.337524381,,,,F,2,26-30,2,0,0,0,0,0,12,33,23,38,40,TRUE,D,N,A,A,A,D,A,A,SD,A,D,D,N,D,D,SA,SA,D,A,A,D,N,A,D,N,SD,N,N,D,D,N,N,D,SA,SA,D,A,A,SD,SA,D,SD,N,D,D,A,A,N,SA,SA,SD,A,A,D,SD,D,N,N,D,SA
105115,Q2,Q02,0.768977104,1.201036221,1.381482974,,,,M,1,31-35,3,0,0,0,0,0,23,26,28,32,25,TRUE,SA,D,D,SA,D,N,A,N,D,N,A,D,N,D,N,N,N,D,SA,N,N,D,A,A,N,A,A,SA,N,A,A,N,A,A,A,A,A,N,N,A,N,N,D,D,N,N,A,D,A,A,D,A,A,D,A,N,N,A,D,A
105216,Q3,Q03,0.907729104,1.453192537,1.666797502,,,,M,1,26-30,2,0,0,0,0,0,21,18,30,27,22,TRUE,N,D,SD,A,N,N,D,A,D,D,N,N,A,D,D,D,D,D,N,A,N,N,A,A,D,N,A,D,A,A,A,N,D,A,N,D,N,SD,N,N,D,N,D,N,A,D,D,SD,A,N,D,N,N,D,A,D,A,A,D,A
105620,S900,Q08,0.715121723,1.184764185,1.34774742,,,,F,2,31-35,3,0,0,0,0,0,26,23,30,29,38,TRUE,A,N,D,SA,A,N,A,A,D,A,A,N,A,N,D,D,N,SD,D,A,N,N,SA,N,A,N,A,N,N,D,D,N,SD,A,A,A,N,SD,SD,A,D,N,N,A,D,D,N,N,SA,SA,D,N,A,A,SD,N,A,N,N,A
105923,MEG2,Q07,0.755440644,1.200569987,1.350867235,,,,F,2,31-35,3,0,0,0,0,0,11,32,30,29,30,TRUE,A,A,N,A,A,D,A,N,D,N,D,N,A,D,N,A,A,D,N,A,SD,A,D,N,D,D,N,A,D,A,A,N,D,A,A,D,A,N,D,A,D,D,D,A,D,A,N,D,A,A,D,SA,A,N,D,D,N,N,D,A
106016,Q3,Q04,0.718338327,1.114879094,1.282751195,,,,F,2,31-35,3,0,0,0,0,0,12,27,24,33,34,TRUE,A,N,N,A,N,D,N,A,D,A,D,N,D,D,D,A,A,D,A,A,D,N,A,D,A,D,N,N,D,D,A,N,D,A,A,D,N,A,D,A,D,D,N,N,D,A,N,N,A,A,D,N,A,D,N,D,D,A,D,A
106319,Q3,Q03,0.722921445,1.174047075,1.376017101,,,,M,1,26-30,2,0,0,0,0,0,26,23,39,34,24,TRUE,A,D,D,SA,A,D,A,N,SD,D,A,D,SA,D,D,D,N,D,A,SA,N,A,N,A,D,A,A,SA,N,A,D,D,D,A,N,D,N,SD,D,N,A,D,A,D,A,SD,D,SD,SA,N,D,N,SA,D,A,D,A,A,D,A
106521,S500,Q06,0.770640974,1.249130055,1.422831619,,,,F,2,26-30,2,0,0,0,0,0,17,32,32,40,24,TRUE,D,SA,D,SA,N,A,SA,A,SD,A,D,SD,N,SD,A,D,A,SD,SA,A,D,N,D,D,D,N,D,A,D,D,A,N,SD,SA,N,SD,A,SD,SD,N,D,N,N,D,A,N,SD,D,A,N,SD,N,N,SD,D,SD,D,D,SD,D
106824,S1200,Q13,0.904036595,1.437752914,1.565463897,,,,M,1,22-25,1,0,0,0,0,0,22,29,29,28,34,TRUE,D,N,A,A,N,D,N,SA,D,D,N,A,SA,D,SD,N,A,N,D,A,A,A,D,N,A,D,N,D,D,N,D,A,D,A,A,D,A,A,A,SA,D,D,A,A,D,A,A,D,A,A,D,N,SA,D,N,A,N,SA,N,SA
107018,S900,Q09,0.688940491,1.101539385,1.217435475,,,,F,2,26-30,2,0,0,0,0,0,12,29,35,32,33,TRUE,D,A,D,SA,N,SD,A,A,D,A,D,A,D,N,D,SD,SA,SD,A,A,D,A,D,D,A,SD,D,SA,N,N,SA,D,D,A,SA,D,N,SD,D,A,D,D,A,A,A,SA,A,D,SA,A,SD,A,A,D,D,D,SA,A,D,A
107220,S900,Q11,0.734308316,1.245142326,1.406891232,,,,F,2,26-30,2,0,0,0,0,0,26,25,28,32,35,TRUE,D,D,A,SA,N,N,N,D,D,A,SA,N,A,D,A,N,A,N,A,A,D,N,D,A,A,A,N,N,A,N,A,D,SD,A,A,N,N,A,D,SA,D,D,N,N,SD,D,N,D,SA,A,D,N,A,SD,D,A,D,D,D,SA
107321,S500,Q04,0.653092766,1.09735625,1.224378244,,,,F,2,22-25,1,0,0,0,0,0,9,28,33,35,33,TRUE,A,N,D,A,A,SD,A,N,D,A,SD,D,A,D,A,A,A,SD,A,A,D,N,SD,D,A,SD,A,A,D,D,A,D,D,SA,SA,D,A,D,D,A,D,D,A,D,A,A,D,A,A,A,D,A,A,D,D,D,D,D,D,A
107422,S500,Q07,0.754970906,1.169759342,1.30031355,,,,M,1,22-25,1,0,0,0,0,0,17,24,21,29,33,TRUE,A,N,A,A,N,D,A,A,D,A,A,D,D,N,N,A,N,D,A,A,D,N,A,D,A,D,N,N,D,N,N,N,N,A,A,D,N,D,N,A,D,A,D,A,D,A,D,N,A,A,D,N,A,N,D,A,N,D,D,A
107725,S900,Q08,0.64227761,1.143613571,1.27668849,,,,F,2,31-35,3,0,0,0,0,0,20,24,22,34,44,TRUE,D,SD,N,SA,SA,N,A,A,SD,SA,N,D,N,SD,N,D,N,D,N,A,SD,D,A,N,A,SD,N,N,SA,SD,D,N,N,SA,SA,SD,A,N,SD,SA,N,D,D,D,SD,SD,D,N,SA,SA,SD,N,N,D,SD,D,N,N,SD,SA
108020,S1200,Q12,0.800040985,1.265129427,1.453924724,,,,M,1,22-25,1,0,0,0,0,0,16,34,17,29,33,TRUE,A,A,A,SA,N,N,A,A,N,A,N,N,SD,N,N,N,SA,D,A,A,N,A,SA,A,A,D,D,N,N,N,N,N,N,A,A,D,A,D,D,SA,D,D,SD,A,D,A,A,A,A,A,SD,N,A,D,N,D,D,D,N,A
108121,S500,Q04,0.605430774,0.957696834,1.054415594,,,,F,2,26-30,2,0,0,0,0,0,21,33,24,31,35,TRUE,D,SA,N,SA,N,D,A,A,D,A,A,D,N,D,N,A,SA,D,A,A,D,A,N,D,A,N,D,N,A,D,N,N,D,SA,SA,D,A,A,SD,A,A,D,D,N,D,N,N,D,A,A,D,D,A,A,N,D,N,D,SD,SA
108222,S900,Q07,0.766173378,1.238572615,1.455238641,,,,M,1,31-35,3,0,0,0,0,0,15,29,39,30,30,TRUE,N,N,D,SA,A,D,D,A,D,D,D,D,SA,N,N,A,A,SD,N,SA,N,A,N,N,D,D,A,A,D,A,A,N,SD,A,A,N,A,D,N,A,D,D,A,N,D,A,A,SD,SA,A,D,A,SA,N,D,D,N,SA,D,A
108323,S500,Q04,0.729595531,1.200715832,1.339750847,,,,F,2,26-30,2,0,0,0,0,0,17,28,29,31,26,TRUE,N,A,D,SA,D,N,D,A,SD,D,A,N,D,SD,N,SA,D,N,SD,A,D,SA,N,D,SA,D,A,SA,D,N,A,N,D,A,A,D,A,N,SD,N,D,D,D,SA,A,D,A,D,SA,A,D,SA,SA,N,A,D,A,A,SD,A
108525,S500,Q05,0.723758847,1.174519998,1.308794407,,,,M,1,22-25,1,0,0,0,0,0,18,38,27,27,45,TRUE,D,N,SA,SA,SA,N,SA,SA,SA,SA,A,N,A,SD,N,SA,SA,D,A,SA,SD,SA,SD,N,A,SD,A,SA,SA,SD,SA,SA,SA,SA,SA,N,SA,SA,N,SA,SD,SD,SA,A,SD,SD,A,D,SA,SA,SD,SA,SA,SA,SD,SA,N,N,A,SA
108828,S500,Q05,0.766891598,1.288609324,1.447146543,,,,M,1,31-35,3,0,0,0,0,0,35,29,36,32,30,TRUE,D,D,D,SA,A,N,A,A,D,A,SA,A,SA,D,D,D,SA,D,SA,A,A,A,A,SA,A,A,D,A,SA,A,SD,D,SD,A,A,A,A,SD,SD,A,A,A,D,A,A,SD,A,SD,SA,A,SD,A,SA,D,A,A,D,SA,A,A
109123,S500,Q06,0.811845273,1.323460363,1.506247908,,,,M,1,31-35,3,0,0,0,0,0,20,20,28,24,17,TRUE,N,D,D,A,SD,SD,A,A,N,D,D,N,N,N,D,D,A,SD,N,N,D,D,A,A,D,D,N,D,A,A,N,D,A,A,N,N,D,SD,N,N,D,A,N,SA,A,N,D,N,A,N,D,D,SA,N,SA,SA,D,A,A,N
109325,S500,Q07,0.82825166,1.327381657,1.537417373,,,,M,1,31-35,3,0,0,0,0,0,12,27,20,28,33,TRUE,SA,D,N,A,A,N,N,A,D,A,D,N,N,N,N,A,N,N,N,N,D,N,A,N,A,D,D,N,N,D,A,N,N,A,A,D,A,N,N,A,D,N,D,N,D,A,A,A,A,A,D,A,N,N,N,D,N,N,N,A
109830,S900,Q08,0.613586271,0.973290813,1.074102554,,,,F,2,31-35,3,0,1,NaN,NaN,1,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110007,S900,Q11,0.605018044,1.031008728,1.129596453,,,,F,2,31-35,3,0,0,0,0,0,19,37,22,40,40,TRUE,SD,A,N,SA,SA,A,SA,A,SD,A,D,D,N,D,D,A,SA,N,SA,A,D,A,A,D,A,D,SD,A,D,D,N,N,D,A,A,A,A,SA,SD,SA,D,D,N,SD,D,A,A,D,SA,A,D,SA,N,SD,SD,SD,A,D,SD,SA
110411,Q2,Q02,0.69103707,1.194012621,1.386016447,,,,M,1,31-35,3,0,0,0,0,0,8,38,26,30,36,TRUE,A,N,A,A,A,SD,SA,A,D,A,SD,D,A,D,N,A,A,D,D,A,D,A,A,D,N,SD,D,A,D,N,A,A,D,A,SA,D,A,SD,SD,A,SD,SD,SD,SA,D,A,A,D,A,SA,D,SA,A,D,D,D,D,D,D,SA
110613,S900,Q11,0.816212355,1.301691744,1.454966877,,,,M,1,26-30,2,0,0,0,0,0,12,37,33,34,39,TRUE,D,A,N,SA,A,D,SA,SA,SD,A,D,SD,SA,SD,D,A,A,SD,N,SA,D,A,A,A,A,D,D,D,A,N,A,D,D,SA,SA,D,A,D,SD,SA,SD,D,A,D,SD,A,A,SD,SA,A,D,SA,SA,D,D,SD,D,SA,SD,A
111009,S900,Q03,0.822933259,1.295603195,1.481551597,,,,F,2,26-30,2,0,0,0,0,0,13,30,32,38,48,TRUE,SD,A,A,SA,SA,D,SA,SA,SD,SA,D,D,A,SD,SD,N,A,SD,A,SA,SD,A,D,A,SA,SD,A,A,D,SD,A,D,SD,A,SA,N,A,SA,SD,SA,D,D,A,D,SD,A,D,SD,SA,SA,SD,A,SA,SD,SD,SD,N,A,D,SA
111211,S1200,Q12,0.715935211,1.115979359,1.255994202,,,,F,2,26-30,2,0,0,0,0,0,20,36,27,31,32,TRUE,D,A,N,A,D,N,SA,A,D,A,N,D,N,D,D,N,SA,D,A,A,D,A,D,D,D,D,D,A,D,D,N,D,D,A,A,D,A,A,D,A,D,D,A,N,D,A,A,N,A,A,D,A,N,A,D,A,D,N,D,A
111312,Q1,Q01,0.606691741,0.987862242,1.146895166,,,,F,2,31-35,3,0,0,0,0,0,17,29,24,31,35,TRUE,A,A,N,SA,A,N,A,SA,D,A,A,N,N,D,A,SA,A,D,A,A,D,N,N,N,SA,D,N,A,A,D,A,N,D,A,A,N,N,N,SD,A,N,N,D,N,D,N,A,A,A,A,D,N,A,N,D,D,D,N,D,A
